Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,placeholder
0013a00001bqaumAAA,5/7/2019,,5/7/2019,Evergreen,0
0013a00001bqaWKAAY,8/21/2018,,8/21/2018,Evergreen,0
0013a00001bqaWUAAY,11/11/2016,4/22/2020,11/11/2016,Evergreen,0
0013a00001bqayjAAA,7/12/2019,7/12/2022,7/12/2019,Renewable,1
0013a00001bqb06AAA,11/27/2018,4/8/2021,4/9/2021,Evergreen,0
0013a00001bqb3UAAQ,9/28/2017,,9/28/2017,Evergreen,0
0013a00001bqb4cAAA,4/21/2016,,4/21/2016,Evergreen,0
0013a00001bqBeRAAU,3/25/2019,3/24/2022,3/25/2019,Renewable,1
0013a00001bqBjMAAU,7/10/2019,7/10/2022,7/10/2019,Renewable,1
0013a00001bqbweAAA,10/30/2018,2/16/2024,8/9/2021,Renewable,1
0013a00001bqbykAAA,1/16/2019,,1/16/2019,Evergreen,0
0013a00001bqcbtAAA,1/17/2020,1/27/2020,1/17/2020,Evergreen,0
0013a00001bqcFEAAY,9/14/2017,,3/2/2021,Evergreen,0
0013a00001bqcFsAAI,4/11/2018,,4/11/2018,Evergreen,0
0013a00001bqch1AAA,8/25/2017,4/25/2020,8/25/2017,Evergreen,0
0013a00001bqci4AAA,7/28/2019,,7/28/2019,Evergreen,0
0013a00001bqci9AAA,11/3/2017,12/2/2023,3/3/2021,Evergreen,0
0013a00001bqckeAAA,6/7/2016,,6/7/2016,Evergreen,0
0013a00001bqcl3AAA,8/8/2018,,8/8/2018,Evergreen,0
0013a00001bqclrAAA,7/16/2019,6/13/2022,6/14/2021,Renewable,1
0013a00001bqcNNAAY,8/16/2018,4/15/2023,9/29/2021,Renewable,1
0013a00001bqct0AAA,6/29/2015,7/28/2023,8/16/2021,Renewable,1
0013a00001bqcuDAAQ,3/30/2015,,3/30/2015,Evergreen,0
0013a00001bqcvQAAQ,7/12/2019,,7/12/2019,Evergreen,0
0013a00001bqcWaAAI,8/7/2019,,1/15/2021,Evergreen,0
0013a00001bqcwxAAA,7/12/2016,11/13/2022,3/16/2021,Renewable,1
0013a00001bqd2sAAA,7/15/2019,8/19/2022,7/15/2019,Renewable,1
0013a00001bqd3CAAQ,1/4/2018,11/24/2022,11/25/2019,Renewable,1
0013a00001bqDAxAAM,12/19/2018,12/19/2019,1/25/2021,Renewable,1
0013a00001bqdFmAAI,7/16/2017,,3/14/2021,Evergreen,0
0013a00001bqdG1AAI,7/26/2019,7/27/2022,7/26/2019,Renewable,1
0013a00001bqedhAAA,4/26/2018,,12/22/2020,Evergreen,0
0013a00001bqedXAAQ,7/25/2019,8/24/2020,8/25/2020,Renewable,1
0013a00001bqefOAAQ,5/9/2017,8/8/2022,8/9/2021,Renewable,1
0013a00001bqejaAAA,7/16/2019,7/16/2022,8/27/2021,Renewable,1
0013a00001bqejBAAQ,7/24/2019,7/24/2022,7/24/2019,Renewable,1
0013a00001bqeluAAA,11/11/2016,,3/15/2021,Evergreen,0
0013a00001bqeRQAAY,4/3/2018,,4/3/2018,Evergreen,0
0013a00001bqesgAAA,11/21/2018,5/20/2023,9/30/2021,Renewable,1
0013a00001bqeslAAA,10/23/2018,3/10/2024,3/11/2021,Renewable,1
0013a00001bqeyZAAQ,10/25/2018,10/24/2023,10/25/2020,Renewable,1
0013a00001bqf1fAAA,7/6/2018,,12/17/2020,Evergreen,0
0013a00001bqf60AAA,12/9/2016,,12/9/2016,Evergreen,0
0013a00001bqfCnAAI,7/16/2019,5/28/2024,6/28/2021,Renewable,1
0013a00001bqfCYAAY,8/29/2018,8/27/2024,8/28/2021,Renewable,1
0013a00001bqfI8AAI,8/6/2019,8/6/2024,8/7/2021,Renewable,1
0013a00001bqfTpAAI,4/12/2016,,4/12/2016,Evergreen,0
0013a00001bqfUdAAI,3/24/2020,,3/24/2020,Evergreen,0
0013a00001bqfX3AAI,7/31/2019,7/31/2021,8/1/2020,Renewable,1
0013a00001bqg9OAAQ,7/16/2019,7/17/2020,7/16/2019,Renewable,1
0013a00001bqgxRAAQ,12/21/2017,5/20/2022,5/21/2021,Renewable,1
0013a00001bqgZPAAY,9/6/2019,9/5/2024,9/6/2021,Renewable,1
0013a00001bqH4VAAU,8/1/2017,,3/2/2021,Evergreen,0
0013a00001bqhE8AAI,3/21/2019,12/20/2022,12/21/2019,Renewable,1
0013a00001bqhg3AAA,9/23/2019,9/22/2022,9/23/2019,Renewable,1
0013a00001bqhgIAAQ,7/12/2021,7/11/2022,7/12/2021,Renewable,1
0013a00001bqhHlAAI,9/9/2019,12/8/2022,12/9/2019,Renewable,1
0013a00001bqhhQAAQ,2/16/2018,3/20/2024,8/30/2021,Renewable,1
0013a00001bqhiJAAQ,12/14/2018,12/14/2023,12/15/2020,Renewable,1
0013a00001bqhK2AAI,4/6/2016,,4/6/2016,Evergreen,0
0013a00001bqhLAAAY,3/28/2018,,3/28/2018,Evergreen,0
0013a00001bqhLjAAI,7/18/2019,9/10/2022,9/11/2021,Renewable,1
0013a00001bqhMhAAI,8/7/2019,8/6/2022,11/1/2021,Renewable,1
0013a00001bqhRrAAI,11/23/2018,5/22/2023,5/23/2020,Renewable,1
0013a00001bqhSaAAI,5/22/2016,,5/22/2016,Evergreen,0
0013a00001bqhVAAAY,7/30/2019,7/30/2022,1/26/2021,Renewable,1
0013a00001bqi5aAAA,8/31/2017,12/31/2023,3/1/2022,Renewable,1
0013a00001bqiC9AAI,12/21/2018,,1/4/2021,Evergreen,0
0013a00001bqiFmAAI,7/31/2019,7/31/2022,7/31/2019,Renewable,1
